Initials,Role,Pronouns,LEC,DIS,LAB,Majors,Terms in Attendance,Units,Grading Basis,Waitlist Position
PJ,Student,,001,101,011,Civil Engineering BS,6,4,Letter,
EP,Student,,001,101,012,Chemical Engineering BS,5,4,Letter,
PG,Student,,001,101,015,Chemical Engineering BS,6,4,Letter,
AF,Student,,001,101,013,Civil Engineering BS,6,4,Letter,
AM,Student,,001,101,014,Civil Engineering BS,6,4,Letter,
SM,Student,,001,101,014,Nuclear Engineering BS,6,4,Letter,
BL,Student,,001,101,014,Chemistry BS,6,4,Letter,
GJ,Student,,001,101,012,Industrial Eng & Ops Rsch BS,6,4,Letter,
KS,Student,He/Him/His,001,101,014,Chemistry BS,2,4,Letter,
RB,Student,,001,101,014,Letters & Sci Undeclared UG,2,4,Letter,
